path,kind,status,lines,words,disposition
C:/Users/abdul/.codex/plugins/cache/openai-curated-remote/figma/2.0.21/skills/figma-implement-motion/SKILL.md,SKILL.md,active session catalog,146,3137,Reviewed; see report family disposition
C:/Users/abdul/.codex/plugins/cache/openai-curated-remote/figma/2.0.21/skills/figma-swiftui/SKILL.md,SKILL.md,active session catalog,36,546,Reviewed; see report family disposition
C:/Users/abdul/.codex/plugins/cache/openai-curated-remote/figma/2.0.21/skills/figma-use/SKILL.md,SKILL.md,active session catalog,435,4770,Reviewed; see report family disposition
C:/Users/abdul/.codex/plugins/cache/openai-curated-remote/figma/2.0.21/skills/figma-use-figjam/SKILL.md,SKILL.md,active session catalog,64,913,Reviewed; see report family disposition
C:/Users/abdul/.codex/plugins/cache/openai-curated-remote/figma/2.0.21/skills/figma-use-motion/SKILL.md,SKILL.md,active session catalog,80,952,Reviewed; see report family disposition
C:/Users/abdul/.codex/plugins/cache/openai-curated-remote/figma/2.0.21/skills/figma-use-slides/SKILL.md,SKILL.md,active session catalog,214,3234,Reviewed; see report family disposition
C:/Users/abdul/.codex/plugins/cache/openai-curated-remote/plugin-management/0.1.0/skills/plugin-management/SKILL.md,SKILL.md,active session catalog,58,435,Reviewed; see report family disposition
C:/Users/abdul/.codex/plugins/cache/openai-curated-remote/product-design/0.1.53/skills/audit/SKILL.md,SKILL.md,active session catalog,160,1376,Reviewed; see report family disposition
C:/Users/abdul/.codex/plugins/cache/openai-curated-remote/product-design/0.1.53/skills/design-qa/SKILL.md,SKILL.md,"source, supporting, archived, or task copy; not listed active",173,1761,Reviewed; see report family disposition
C:/Users/abdul/.codex/plugins/cache/openai-curated-remote/product-design/0.1.53/skills/get-context/SKILL.md,SKILL.md,"source, supporting, archived, or task copy; not listed active",50,457,Reviewed; see report family disposition
C:/Users/abdul/.codex/plugins/cache/openai-curated-remote/product-design/0.1.53/skills/ideate/SKILL.md,SKILL.md,active session catalog,191,2040,Reviewed; see report family disposition
C:/Users/abdul/.codex/plugins/cache/openai-curated-remote/product-design/0.1.53/skills/image-to-code/SKILL.md,SKILL.md,active session catalog,136,1436,Reviewed; see report family disposition
C:/Users/abdul/.codex/plugins/cache/openai-curated-remote/product-design/0.1.53/skills/index/SKILL.md,SKILL.md,active session catalog,151,1504,Reviewed; see report family disposition
C:/Users/abdul/.codex/plugins/cache/openai-curated-remote/product-design/0.1.53/skills/research/SKILL.md,SKILL.md,"source, supporting, archived, or task copy; not listed active",92,481,Reviewed; see report family disposition
C:/Users/abdul/.codex/plugins/cache/openai-curated-remote/product-design/0.1.53/skills/share/SKILL.md,SKILL.md,"source, supporting, archived, or task copy; not listed active",42,331,Reviewed; see report family disposition
C:/Users/abdul/.codex/plugins/cache/openai-curated-remote/product-design/0.1.53/skills/url-to-code/SKILL.md,SKILL.md,active session catalog,144,1184,Reviewed; see report family disposition
C:/Users/abdul/.codex/plugins/cache/openai-curated-remote/product-design/0.1.53/skills/user-context/SKILL.md,SKILL.md,"source, supporting, archived, or task copy; not listed active",149,843,Reviewed; see report family disposition
C:/Users/abdul/.codex/plugins/cache/openai-curated-remote/product-design/0.1.53/templates/mobile-app/AGENTS.md,AGENTS.md,template (not active here),71,1512,Reviewed; see report family disposition
C:/Users/abdul/.codex/plugins/cache/openai-curated-remote/product-design/0.1.53/templates/prototype/AGENTS.md,AGENTS.md,template (not active here),9,140,Reviewed; see report family disposition
C:/Users/abdul/.codex/plugins/cache/openai-primary-runtime/documents/26.904.11930/skills/documents/SKILL.md,SKILL.md,active session catalog,540,5580,Reviewed; see report family disposition
C:/Users/abdul/.codex/plugins/cache/openai-primary-runtime/pdf/26.904.11930/skills/pdf/SKILL.md,SKILL.md,active session catalog,150,972,Reviewed; see report family disposition
C:/Users/abdul/.codex/plugins/cache/openai-primary-runtime/presentations/26.904.11930/skills/presentations/SKILL.md,SKILL.md,active session catalog,232,4409,Reviewed; see report family disposition
C:/Users/abdul/.codex/plugins/cache/openai-primary-runtime/spreadsheets/26.904.11930/skills/excel-live-control/SKILL.md,SKILL.md,active session catalog,294,4053,Reviewed; see report family disposition
C:/Users/abdul/.codex/plugins/cache/openai-primary-runtime/spreadsheets/26.904.11930/skills/spreadsheets/SKILL.md,SKILL.md,active session catalog,218,2165,Resolve current runtime/tool or precedence mismatch
C:/Users/abdul/.codex/plugins/cache/openai-primary-runtime/template-creator/26.904.11930/skills/template-creator/SKILL.md,SKILL.md,active session catalog,206,2567,Reviewed; see report family disposition
C:/Users/abdul/.codex/skills/.system/imagegen/SKILL.md,SKILL.md,active session catalog,315,2761,Reviewed; see report family disposition
C:/Users/abdul/.codex/skills/.system/openai-docs/SKILL.md,SKILL.md,active session catalog,38,701,Resolve current runtime/tool or precedence mismatch
C:/Users/abdul/.codex/skills/.system/plugin-creator/SKILL.md,SKILL.md,active session catalog,249,1451,Reviewed; see report family disposition
C:/Users/abdul/.codex/skills/.system/review-agent/SKILL.md,SKILL.md,"source, supporting, archived, or task copy; not listed active",57,418,Reviewed; see report family disposition
C:/Users/abdul/.codex/skills/.system/skill-creator/SKILL.md,SKILL.md,active session catalog,229,2069,Reviewed; see report family disposition
C:/Users/abdul/.codex/skills/.system/skill-installer/SKILL.md,SKILL.md,active session catalog,58,443,Reviewed; see report family disposition
C:/Users/abdul/Documents/Codex/2026-04-24/name-frontend-design-description-create-distinctive/frontend-design/SKILL.md,SKILL.md,"source, supporting, archived, or task copy; not listed active",76,604,Reviewed; see report family disposition
G:/Projects/2026/cool_projects/code-territory-guide/AGENTS.md,AGENTS.md,project or portable; scope depends on working directory,12,73,Reviewed; see report family disposition
G:/Projects/2026/cool_projects/code-territory-guide/plugins/code-territory-guide/skills/code-territory-guide/SKILL.md,SKILL.md,"source, supporting, archived, or task copy; not listed active",78,718,Simplify default route; consolidate model policy; historical copy if under G:/tmp
G:/Projects/2026/cool_projects/code-territory-guide/portable/AGENTS.md,AGENTS.md,project or portable; scope depends on working directory,487,3045,Reviewed; see report family disposition
G:/Projects/2026/cool_projects/code-territory-guide/skills/code-territory-guide/SKILL.md,SKILL.md,"source, supporting, archived, or task copy; not listed active",78,718,Simplify default route; consolidate model policy; historical copy if under G:/tmp
G:/Projects/2026/cool_projects/code-territory-guide-real-repos/CogVest/AGENTS.md,AGENTS.md,project or portable; scope depends on working directory,144,1033,Reviewed; see report family disposition
G:/Projects/2026/cool_projects/CogVest/AGENTS.md,AGENTS.md,project or portable; scope depends on working directory,135,844,Reviewed; see report family disposition
G:/Projects/2026/cool_projects/controlled-coding-workflow-plugin/skills/controlled-coding/SKILL.md,SKILL.md,"source, supporting, archived, or task copy; not listed active",90,499,Narrow activation and make supervision opt-in; Impeccable helper path defect
G:/Projects/2026/cool_projects/controlled-coding-workflow-plugin/skills/controlled-coding-plan/SKILL.md,SKILL.md,"source, supporting, archived, or task copy; not listed active",104,500,Narrow activation and make supervision opt-in; Impeccable helper path defect
G:/Projects/2026/cool_projects/controlled-coding-workflow-plugin/skills/controlled-coding-review/SKILL.md,SKILL.md,"source, supporting, archived, or task copy; not listed active",72,266,Narrow activation and make supervision opt-in; Impeccable helper path defect
G:/Projects/2026/cool_projects/controlled-coding-workflow-plugin/skills/controlled-coding-scaffold/SKILL.md,SKILL.md,"source, supporting, archived, or task copy; not listed active",209,1190,Narrow activation and make supervision opt-in; Impeccable helper path defect
G:/Projects/2026/cool_projects/copilot-ghost-implementer/SKILL.md,SKILL.md,"source, supporting, archived, or task copy; not listed active",227,1601,Reviewed; see report family disposition
G:/tmp/CogVest-agents-model-routing/AGENTS.md,AGENTS.md,project or portable; scope depends on working directory,133,943,Reviewed; see report family disposition
G:/tmp/CogVest-issue-126/AGENTS.md,AGENTS.md,project or portable; scope depends on working directory,144,1033,Reviewed; see report family disposition
G:/tmp/ctg-8041316/skills/code-territory-guide/SKILL.md,SKILL.md,"source, supporting, archived, or task copy; not listed active",74,684,Simplify default route; consolidate model policy; historical copy if under G:/tmp
